symbol,name,cmc_rank,price_usd,market_cap_usd,volume_24h_usd,pct_1h,pct_24h,pct_7d,circulating_supply,last_updated,timestamp_snapshot
USDC,USDC,6,0.999804582782309,78701163694.76312,10520860835.948156,0.0150407,-0.00309715,0.01346172,78716546263.22012,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
USDT,Tether USDt,3,1.0003494306527392,184500766870.5937,71644208126.64395,0.02597913,0.00233235,0.05305512,184436319167.19827,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
VANRY,Vanar Chain,884,0.004902244172397357,11409828.984284168,110763241.9284696,-1.47592719,-3.52481646,-1.90997952,2327470559,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
VCHF,VNX Swiss Franc,1211,1.2665951282859151,5154879.346025566,25503.1109687,0.19969669,0.18144296,1.29255452,4069871.44582,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
VEUR,VNX Euro,1372,1.16886947085655,3230851.9426235305,17976.55463944,0.02641702,-0.16979228,1.41920615,2764082.75105,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
VVAIFU,Dasha,2487,0.0002686065493587628,266788.99360872415,488.82733656,0.01322383,2.5329299,27.98994281,993233390.048092,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
XLM,Stellar,20,0.15297257802384734,5063190026.681452,79730240.76574992,0.05211716,1.28030698,-4.26753184,33098677502.13464,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
XRP,XRP,5,1.3391014996811437,82228239610.95273,1989766831.9026275,0.37540569,0.85767204,-0.34403682,61405531717,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
ZEREBRO,Zerebro,967,0.009534048397782031,9533575.719282415,5811907.09672666,-0.69774045,9.93393805,33.12095603,999950422.057882,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
ZEX,Zeta,1167,0.03114012745702435,5847154.654358863,110841.05078925,0.0345633,0.55209123,-4.59649631,187769130.4388,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
AAVE,Aave,46,94.84168616130836,1459123589.4629273,367707077.1349333,0.74068909,6.26655609,-0.66452063,15384833.91133752,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
ADA,Cardano,12,0.23953976875249489,8650670728.62884,449770180.766601,-0.00724614,0.42126506,-5.26891675,36113714118.03928,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
AGENT,AgentLayer,3086,0.00006702472167064989,59274.62638632065,47.15790381,0.02266139,5.01872171,-17.41958292,884369601.377651,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
APE,ApeCoin,301,0.08646703658075025,65079546.0800621,11679699.25054388,0.40849328,1.35811086,0.93671123,752651515,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
APT,Aptos,65,0.8607056676088748,693862262.9482626,57573459.00725283,1.65279779,4.98464523,-0.10663832,806155099.3104069,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
ARB,Arbitrum,70,0.11138752124515026,672872427.7894042,74672334.09892371,0.57559832,0.93572156,15.28012699,6040824145,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
ASTER,Aster,44,0.6603659583134817,1637303989.8182356,94162501.31661047,0.09130797,-0.1592705,-0.9798243,2479388843.7250314,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
ATH,Aethir,165,0.006507562875911007,125259044.64104073,56093790.39982028,2.04068103,13.87599676,-3.82351064,19248226568,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
ATOM,Cosmos,61,1.7346288133554535,872319799.5426809,57239821.62381403,0.11722534,0.26203035,0.68561063,502885570,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
AUDIO,Audius,622,0.016866120566122394,23815855.536574483,3316995.39715203,0.46897014,-0.36481841,0.50934438,1412052964,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
AVAX,Avalanche,24,9.278671072426556,4006270006.059878,250889326.2405261,0.85387916,2.9436679,-0.58483281,431771961.1772119,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
AXS,Axie Infinity,140,1.0750306334773363,182637899.73430833,21690180.96727173,0.16253647,-1.36047023,-4.64939973,169890879.42874762,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
BEAM,Beam,190,0.001868728943647252,95866139.93904644,5008461.03993157,0.74403742,4.64586852,2.6024779,51300184687,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
BERA,Berachain,185,0.40556705902332313,99231333.86030428,15923182.64715201,0.18087419,0.56081023,1.62037359,244673061.2177202,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
BLUR,Blur,326,0.021294845595931814,59112398.91871237,29379950.91560547,-0.39285203,-4.94104685,16.51674032,2775901738.869863,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
BONK,Bonk,83,0.000005702102851741673,501755061.3630277,47918414.4762079,0.33494659,0.74423777,-2.74930927,87994740608680.81,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
BORG,SwissBorg,219,0.18314997612361786,179899511.5637676,266524.13304299,0.5883045,1.03918582,-1.38074414,982252443.442,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
CAKE,PancakeSwap,84,1.5201060297837936,498912650.2758437,32327319.20699865,0.85046563,4.22139371,6.15250661,328209112.0622715,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
