symbol,name,cmc_rank,price_usd,market_cap_usd,volume_24h_usd,pct_1h,pct_24h,pct_7d,circulating_supply,last_updated,timestamp_snapshot
SPX,SPX6900,71,1.4183824163603618,1320504228.7082865,59341313.94880345,-2.5439468,5.37618666,21.70173473,930993090.07,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
STRK,Starknet,115,0.1330161965307413,542324331.1274965,38767115.0140711,-0.33525366,3.62201462,6.6820514,4077130043.348971,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
SUI,Sui,14,3.5853807305342125,12795627601.130676,1112481166.4404638,-0.56248749,4.43192315,6.22632371,3568833706.3227763,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
SUPER,SuperVerse,150,0.5790370212823451,363874173.0205189,13607283.58806372,-0.63436216,0.52140126,1.26686776,628412622.4169173,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
SYRUP,Maple Finance,116,0.4487285718560382,535755623.23552436,37190644.99665964,-1.37589684,-2.27148159,-10.48805483,1193941408.7663808,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
TAO,Bittensor,37,342.16813997084057,3368668932.3348837,142852838.23471087,-0.54905738,2.09822792,4.38391872,9845068.95534447,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
TIA,Celestia,70,1.7552705062144134,1362174111.031129,152947535.4496629,-1.34693269,-2.23849061,7.14878249,776047968.793668,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
TON,Toncoin,22,3.1390010936030146,8062992179.666109,171103929.5582644,-0.09860703,1.79107131,-0.96185253,2568649050.8390455,2025-09-10T17:58:00.000Z,2025-09-10T18:00:45.667Z
TRUMP,OFFICIAL TRUMP,59,8.824061599932985,1764805912.3956692,290703525.0439585,-0.22166224,2.38399822,4.78859132,199999273.850159,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
TRX,TRON,9,0.3396898601979111,32156016079.786156,689827119.9980243,0.20701918,1.61666463,-0.44729469,94662867066.59811,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
UNI,Uniswap,25,9.740692694386645,6139855966.313676,305906344.15102875,-0.30153222,3.22378698,0.45577208,630330527.71,2025-09-10T17:58:00.000Z,2025-09-10T18:00:45.667Z
USDC,USDC,7,0.9997624273942652,72269452437.92381,14571524082.02,0.01078863,-0.00493974,-0.02510224,72286625759.96538,2025-09-10T17:58:00.000Z,2025-09-10T18:00:45.667Z
USDT,Tether USDt,4,1.0000713829585335,169107144501.2343,128949268217.51117,0.00445879,0.01007303,-0.01671761,169095073994.57913,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
VET,VeChain,51,0.024453292947636287,2102617401.01575,45174964.2651763,-0.34707892,1.39866477,1.91188653,85985041177,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
VIRTUAL,Virtuals Protocol,95,1.2582850818728888,824892411.8939605,206881185.4609235,-0.5798314,1.14181581,9.93317366,655568776.7243915,2025-09-10T17:58:00.000Z,2025-09-10T18:00:45.667Z
W,Wormhole,132,0.0935551598974562,444686253.73759276,225379045.76749367,0.63694509,10.96049503,17.05960329,4753198586,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
WIF,dogwifhat,88,0.8905050187894987,889472046.5217985,204417368.52418312,-0.55443917,3.36225145,8.81820556,998840015.220684,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
XLM,Stellar,15,0.3834281685327501,12170385365.389883,225104067.2416952,-0.31216535,3.18046082,5.09605959,31740978791.312675,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
XRP,XRP,3,3.0012100905473176,178902750204.18228,4342544122.307326,-0.07963709,1.5738801,4.83736449,59610205486,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
XTZ,Tezos,100,0.7365196519724183,779216690.3870169,18883119.6814488,-0.18581431,2.49095892,0.23960711,1057971349.848242,2025-09-10T17:58:00.000Z,2025-09-10T18:00:45.667Z
ZRO,LayerZero,119,2.0151819552450587,503636350.79581505,30901579.77625578,-0.65144973,2.85508536,6.16542546,249921030.44837445,2025-09-10T17:58:00.000Z,2025-09-10T18:00:45.667Z
ACT,Act I : The AI Prophecy,687,0.038454689285191065,36464453.709180914,40510742.70405564,-0.52659827,4.75894923,3.75847482,948244658.505755,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
AI16Z,ai16z,329,0.11182032603707492,123001964.70149854,121088283.63716437,-1.68862987,3.61094987,18.20860837,1099996477.0333102,2025-09-10T17:58:00.000Z,2025-09-10T18:00:45.667Z
AKT,Akash Network,167,1.1664892413627217,289622708.25541484,10971703.11581907,-0.34402537,2.16986774,3.58130201,248285794.661141,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
ALCH,Alchemist AI,470,0.08761125410731105,74469565.9912144,21960638.38571273,-0.41706831,-0.61633634,0.05935689,850000000,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
ALT,Altlayer,283,0.03424979189880236,145107623.8373283,30832886.58174347,-0.35554306,2.77400902,6.79093297,4236744686.3933325,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
ANKR,Ankr,276,0.015521546297629666,155215462.97629666,11117582.14451225,-0.50576525,2.71596164,1.94210829,10000000000,2025-09-10T17:58:00.000Z,2025-09-10T18:00:45.667Z
API3,API3,419,0.990854479466264,85631604.02563493,30652343.13543544,-0.24773769,1.02533801,-3.53485142,86421978,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
APU,Apu Apustaja,545,0.00016855608765281243,56953771.71012228,995654.86890258,0.38577514,3.43774642,-1.18829496,337892107625.5295,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
ASTR,Astar,243,0.023983193842682448,195970621.7162311,5941987.20315714,-0.21462395,1.28000464,1.63293823,8171164483,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
AUDIO,Audius,426,0.06222142398908187,84248951.89765404,8319451.06032143,-0.41595176,1.75415492,-0.83771281,1354018383,2025-09-10T17:58:00.000Z,2025-09-10T18:00:45.667Z
BABY,Babylon,309,0.050508081823589145,132388194.36459033,16276122.02440525,-0.14328368,2.59846942,7.83754628,2621128927.98,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
BAT,Basic Attention Token,187,0.16046135541490877,240001416.5873497,24941583.99922231,-0.04964112,2.59267197,1.82220241,1495696056.9526057,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
BERA,Berachain,165,2.3727625287382184,298179062.5668904,45501416.18749392,-0.35289342,2.83490813,0.69741129,125667469.4392849,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
BIO,Bio Protocol,185,0.145993749065191,244070723.87597778,79570300.27488665,-1.03591471,-1.34363977,0.48222407,1671788863.83,2025-09-10T17:58:00.000Z,2025-09-10T18:00:45.667Z
BITCOIN,HarryPotterObamaSonic10Inu (ERC-20),449,0.07953677755386811,79520723.45300275,7670089.54547953,-1.19065789,2.9657257,3.3045959,999798155,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
BLACK,Blackhole,3735,0.2570628685828324,0,657931.5814347,-0.13721584,-1.64412627,0.42630586,0,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
BLOCK,Block (blockstreet.xyz),771,0.06316461189618788,29055721.472246427,6890265.39818895,0.35752721,-6.80867797,-15.05587665,460000000,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
BLUR,Blur,232,0.0838982314959387,210309718.44158366,37229303.69399299,-0.40343968,6.00428935,8.5091804,2506724095.2720704,2025-09-10T17:58:00.000Z,2025-09-10T18:00:45.667Z
BNT,Bancor,420,0.7406530452396466,85314418.3296217,5648640.91896744,0.094239,2.23893133,-1.38090786,115188101.74069732,2025-09-10T17:58:00.000Z,2025-09-10T18:00:45.667Z
BOME,BOOK OF MEME,289,0.002045407943066302,140961465.66292658,40519618.5154172,-0.58749901,3.81675456,4.82712701,68916064465.65819,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
BORG,SwissBorg,220,0.2726886865522161,267944569.70519722,653572.32615156,0.42536716,3.69182211,2.37287093,982602443.442,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
CARV,CARV,399,0.3099645970422621,91377238.98509036,18201542.45696581,-0.33021715,0.39769253,5.4864019,294798954,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
CGPT,ChainGPT,429,0.09747605310586965,83554667.62836269,68510241.64651921,-0.42586968,1.28307865,19.60475443,857181481.6672274,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
CHILLGUY,Just a chill guy,606,0.046228414232140844,46226158.87304688,10037286.41984043,-1.26761367,-0.13184295,8.28718262,999951212.709079,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
COW,CoW Protocol,254,0.3516921124329054,179808530.78757715,10367591.79475346,-0.95314451,3.70425971,2.76674277,511266884.9571666,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
DOGS,DOGS,473,0.0001401954353848353,72445991.23511364,13702518.91246715,-0.77454072,2.82459564,5.39522577,516750000000,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
DOLO,Dolomite,458,0.17448705382899443,77057315.9279954,333772241.1361066,-3.11450209,-3.33816896,-10.30997726,441621967,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
DRIFT,Drift,227,0.5945555623301709,215275911.6832678,41046688.63173082,-1.08609841,6.17064159,5.86632041,362078711.095667,2025-09-10T17:58:00.000Z,2025-09-10T18:00:45.667Z
ENJ,Enjin Coin,307,0.07057111189263661,132740571.81959821,11985055.74715617,-0.222051,2.94023811,3.56814373,1880947717.2691162,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
EURC,EURC,190,1.1714721444066143,239499553.3367146,43027523.57896131,0.00010034,-0.02335303,0.44986002,204443233.6528397,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
FWOG,Fwog (SOL),640,0.042547934076333394,41511267.61828591,3066036.25805786,-0.53887066,4.62565788,7.22700311,975635328,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
GEOD,GEODNET,582,0.16134785225592863,51173808.243947655,295432.77920981,0.44144424,5.02604957,4.10315344,317164483.62,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
GIGA,Gigachad,336,0.012737325984904967,118487852.66331127,4373380.29073504,-0.51814251,3.50345514,14.59999457,9302411888,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
GLMR,Moonbeam,481,0.07036299132830932,70900309.09403609,4406360.13205109,-0.30147937,1.17074336,1.41206723,1007636369,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
GMT,GMT,298,0.043867135612974104,136347849.1110993,16003909.27474131,-0.38498551,2.78166443,4.03149379,3108200414.863039,2025-09-10T17:58:00.000Z,2025-09-10T18:00:45.667Z
GMX,GMX,280,14.9059923879681,153384891.7823817,8276779.98414416,-0.67720281,3.1769454,0.47015789,10290149.61165496,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
GOAT,Goatseus Maximus,390,0.09415125505968007,94150481.35599247,23833069.77523037,-1.27618439,-0.14864403,12.96173541,999991782.332725,2025-09-10T17:58:00.000Z,2025-09-10T18:00:45.667Z
GRASS,Grass,245,0.7750793341309029,189045795.5234173,41890940.28164997,0.5706137,0.47235703,4.8882926,243905091,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
HONEY,Hivemapper,450,0.016828185814426015,79436783.20117928,933166.22904997,1.38037368,6.44177671,-1.42504163,4720460308.507044,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
HUMA,Huma Finance,534,0.02619936179892989,58773901.62686626,20281839.41436147,-0.62799123,0.6272861,6.93814069,2243333333,2025-09-10T17:59:00.000Z,2025-09-10T18:00:45.667Z
HYPER,Hyperlane,554,0.3180752684568595,55726787.033641785,26011684.09819209,-1.18612662,1.54441808,4.61043204,175200000,2025-09-10T18:00:00.000Z,2025-09-10T18:00:45.667Z
